"Investing.Company","stateab","newstext"
"Alpla","TX","SEDCO launches several new ideas March 10, 2011 | Herald Democrat (Sherman, TX) Section: Front Page 686 Words OpenURL Link   BY KATHY WILLIAMS   HERALD DEMOCRAT     The Sherman Economic Development Corp. launched several new ways of conducting its business this week, including the research behind incentives, how to announce them, and limits on incentive size.In addition to providing incentives to two companies in the Sunny Delight building, the SEDCO Board of Directors extended to March 9, 2012, the option for Sherman Panda Energy to exercise a contract for sale and purchase of land.Another new policy is limiting the total package of economic incentives to five percent of the investment value.The five percent includes anything SEDCO grants as well as any tax abatements.Neither the Sunny Delight nor the Alpla incentive packages will include tax abatements, SEDCO Board Chairman Todd Thompson told city councilors and the public Monday.SEDCO can award incentives based on capital investment or in jobs created or both.In the incentives announced at the council meeting, Sunny Delight itself will invest $17 million for which SEDCO will grant the beverage maker $850,000.SEDCO will grant Alpla $475,390 for the investment, which could also bring 16 new jobs to the area.The Alpla incentive grant is based on capital investment only but the economic impact study considers capital investment and jobs.When SEDCO first entered this agreement, then-president John Boswell said it was structured so that SEDCO would only provide the land incentive once the plant was built.Sunny Delight itself will invest $17 million for which Sherman Economic Development Corp. will grant the beverage maker $850,000.SEDCO will grant Alpla $475,390 for the investment, which could also bring 12 to 16 new jobs to the area.And although the city's reserve funds have declined since last year, they are still sufficient and the city is in a good financial condition."
"Alstom Grid","PA","The filing asks a judge to award back and future pay, damages and out-of-pocket expenses, as well as to compensate him for overtime and determine the company discriminated against him on the basis of his age.One of the big question marks to any future development of industrial and office parks is whether there will be ample public money, he said, adding that it remains to be seen if Gov. Tom Corbett’s budget will yield any assistance in that area."
"Alstom","WV","Jude had been working with Councilman Jeff Means and Council President Dayton Griffith as well as City Manager Carlton Lee and City Treasurer Hanna Pettit on a new business and occupation tax credit for new businesses in South Charleston.Certainly this is research worth funding.The rest would pay for his Making Work Pay tax credits,"" he wrote.As Manchin said, the Making Work Pay tax credits likely would be less than the tax's effect on electricity prices, for a net loss for the consumer.Sununu, who represented New Hampshire in the Senate for one term, is currently a member of a congressional oversight panel charged with monitoring use of federal bailout funds for financial institutions.The Republicans also announced Monday that national GOP Chairman Michael Steele, whose pending visit was announced earlier, will headline a fundraiser on May 22 in South Charleston.The simulated training is funded by a $4 million economic development grant."
"Amada","CA","Esa magia de un amor de ensueño se la dio el ex pelotero Esteban Loaiza, un hombre con una carrera de éxitos, sin una vida de escándalos, sin matrimonios anteriores ni hijos, con dinero y con un evidente profundo amor por la cantante.El Museo de Arte Vincent Price tiene 40.000 metros cuadrados y cuenta con un almacén de 5.000 pies, la sala de lectura tiene 129 asientos, y siete espacios de galería.Además, es la nueva casa de la amada colección de 8.000 piezas de arte de ELAC, donada por el actor de películas Vincent Price, y tiene espacio suficiente para albergar varias exposiciones de arte temporales.El Museo de Arte de Vincent Price está preparando una exhibición retrospectiva de ocho alumnos artistas que llegaron a la fama, y está trabajando con la Fundación Getty para presentar un espectáculo con artistas chino-estadounidenses en enero de 2012.The essence of psychotherapy is a trusting relationship between a trained professional and the person (client or patient) seeking assistance."
"Areva","VA","Northern Virginia contributes about 45 percent of state income taxes, Gordon says, ""so we're funding a lot of programs throughout the commonwealth.""With Maryland in the running, Virginia helped seal the deal with a $4.6 million incentive package from the state and Fairfax County.The company supplies products to furniture retailer Ikea, whose Swedish subsidiary, Swedwood International, opened its first North American manufacturing facility in Danville in 2007.Kalbaugh, Pfund & Messersmith, 26   42.""With the General Assembly still in session, the complete picture has not been painted yet, but we already know that Lynchburg will probably experience a state funding shortfall in excess of $6 million.While we assure you that we, as council, understand the need to address this school and improve it, the $80 million question is how do we fund it and when.Last year, this motivated group of young people raised the necessary funds to pay for their trip to the National League of Cities conference, which was held in Orlando, Fla.In this case, Hampton wants to count the savings Howmet will realize from its very own tax break as part of the $400,000-plus the city must put up to match $2.9 million from state economic development funds if Howmet goes ahead with a big upgrade at its local plant.In order to get reimbursement of its training costs - payable over 10 years - Northrop Grumman (yep, we guessed, too) has to create at least 1,000 new, full-time jobs, make a capital investment of at least $300 million and maintain an accredited apprenticeship program with an average enrollment of 750.But at least when incentives take this form, between the taxpayers' pockets and that bottom line, they produce genuine benefits for workers, for the skills they learn will enrich their brains and resumes.Neither advocate nor skeptic can know for certain whether Northrop Grumman will spend more on training because of the grant than it otherwise would, or make any decisions differently.While public funds for work force development aren't usually funneled directly into a private corporation, taxpayer dollars - federal, state and local - are the lifeblood of regional work force development programs.The Virginia Department of Transportation has made us aware that secondary road maintenance money for county roadwork will be reduced as well because these funds come from the state, while money for the primary roads is federal money.Work on Goodman's Crossing, however, is still in the budget and work on Route 43 to repair the sinkhole along the shoulder in front of Holly Hills North will be funded.The board was pleased to learn of the town's success in receiving the Department of Housing and Community Development grant for work in the downtown.Putney also said he hopes the General Assembly will extend for 10 years a tax credit for businesses that helped persuade Areva to partner with Northrop Grumman last fall to announce a nuclear-reactor parts manufacturing plant in Newport News.Putney sponsored the original tax credit.House Majority Leader William Howell said the funds total $400 million and can be leveraged by the banks into $3 billion to $5 billion of loans for Virginia builders and automobile dealers.Cit at ion (ag lc St yle )               Christa Desrets, 'Watching parties give inauguration alternative to locals', News & Advance, The               (online), 18 Jan 2009 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/12DF5425B9C57978›  LETTERS TO THE EDITOR January 15, 2009 | Daily Press (Newport News, VA) Section: Editorial 508 Words Page: C5 OpenURL Link   Delay SEVTC move   Recently, Gov. Tim Kaine offered amendments to the state budget to address the economic downturn that is negatively impacting the projected revenues needed to fund the core service functions of state government.To be successful, I will aggressively work to fund the operations at SEVTC until such time as these conditions can be met and to provide the funds to develop a community- based infrastructure that is equal to or exceeds the services currently available at SEVTC.To meet this goal, we must work cooperatively and collaboratively with the governor and his administration to provide the needed funds so that the local community service boards, the SEVTC professional staff, the families and the advocacy community can develop and implement a ""win-win"" strategy to protect the dignity and meet the needs of these vulnerable citizens.The Newport News Economic Development Authority, which has recently spent more than $1 million on City Center signage and surrounds, could surely, with the assistance of Williamsburg, Yorktown and Poquoson, donate a grant of half a million dollars to this vital musical organization.I am petitioning, as a taxpayer, for an outright grant for this vital symphony in our midst.And, as we will discuss tonight, I am moving forward on capital projects and business incentives designed to help create jobs.I have presented you a budget that tightens the belt of government, just as citizens and businesses are cutting their own expenses.THE BUDGET PROPOSAL   Educating our young people is one of the most fundamental things that government does-teaching our children and grandchildren to be responsible citizens, and preparing them to be competitive for the jobs of tomorrow.In fact, as we were cutting many state programs in the biennial budget passed last March, we increased funding for public education by approximately $1 billion for the biennium.My proposal is to reduce funding for administrative and support personnel in schools and central offices by applying a funding cap for these positions.For years we've applied a cap to determine the number of teachers and principals we fund-we should do the same for support staff.While it's never easy to make cuts to schools, my proposal focuses state funds to protect the students' experience in the classroom.I propose capping the enrollment to certain programs, freezing or reducing provider reimbursement rates, and delaying the expansion of certain services in order to cut over $400 million out of our Medicaid program.My proposed budget protects the advances we made in this biennial budget in funding our health care safety net.In the area of safety net expenditures, my budget includes funds for foreclosure prevention counseling to help families stay in their homes.And the budget also includes a $1 million grant to the Virginia Federation of Food Banks.As the economy has worsened, food banks across the Commonwealth have seen donations decline and their shelves depleted, even as more Virginians have found themselves in need of this vital assistance.Without a long-term commitment from the legislature to support transportation funding, and with a slump in existing revenue sources, dozens of road and bridge projects all across the Commonwealth have been taken out of the plan.First, we should expand an existing incentive for solar manufacturers to include new plants that make other alternative energy equipment and products.Second, we need to amend the current biofuels incentive grant to give a preference for those biofuels that do not compete with our food supply, and make it easier for small and start-up companies to earn the grant.For this reason, I propose to  give an income tax credit on solar photovoltaic, solar thermal, and wind-power electric generators installed in homes or businesses in Virginia.But, the disappearance of state and federal tax incentives caused the industry to shrink and research to decline.It would overturn partial birth abortion bans, eliminate parental notification, and force taxpayers to fund abortion.FOCA creates a fundamental right to abortion.FOCA would repeal the Hyde Amendment, allowing unlimited federal funding for abortion."
"Areva","VA","The city, which would serve as a public partner and provide some funding, has yet to sign off on the project.The city, which would serve as a public partner and provide some funding, has yet to sign off on the project."
"Arkal","AL","With the assistance of the SBA, Gilpin CEO Paul McClure got a loan from First Commercial Bank to finance expansion, he said.The city council approved an incentives package in June and a10-year tax abatement in November.The incentives included Industrial Development Board financing and construction of the 32,000-square foot building that will be leased to ARKAL with an option to buy, $10,000 in assistance for relocation of staff and $25,000 for training assistance.The council also voted to extend tax abatements for auto parts makers CNJ Inc and SCA Inc and  provide new abatements for Arkal Automotive.In other business   The council also:   » Recognized employees for their years of service;   » Approved an alcoholic beverage license for Short Putts;   » Approved special-event alcoholic beverage licenses for the Alabama Wildlife Federation and the Hudson Family Foundation;   » Amended the city code, setting the business license renewal deadline at Feb. 15 and removing a $10 late fee;   » Approved a $152,808 reimbursement to the Alabama Department of Transportation for the resurfacing of Farmville Road from North Donahue Drive to the city limits;   » Approved a bid of $137,449 from Sansom Equipment Co. for a Kenworth T300 truck, trash loader and 20-foot trailer for collecting bulk debris;   » Approved a bid of $437,094 from Peterbilt of Montgomery for two side-loading garbage trucks; and   » Appointed Art Chappelka, John Jerome and Dennis Pinkard to the Tree Commission."
"Asahi Bluegrass Forge","KY","He expressed appreciation to the United States and all countries for their continuing concern and assistance.The company will benefit from a package of state and local incentives of about $2.1 million, according to information provided by the state economic development cabinet."
"Ausome","SC","Au'some is a vertically integrated global company and a wholly-owned subsidiary of Candy Novelty Works Limited, a 50-year-old company and one of the largest ""interactive candy"" manufacturers in the world."
"Axium Plastics","OH","Business park improvements continue with road extensions - * New Albany will spend $6.7 million, plus $2 million more in state funds, to augment Souder and Smith's Mill roads.The city has budgeted $6.7 million, plus $2 million from the state, to fund all aspects of the construction project, including road, water, sewer and fiber optics installation.Cit at ion (ag lc St yle )               Brett Nuckles, 'Business park improvements continue with road extensions - * New Albany will               spend $6.7 million, plus $2 million more in state funds, to augment Souder and Smith's Mill               roads.',New Albany News (online), 28 Apr 2011               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/136EB62110C13AF8›  Village Council grants tax incentives to two more companies - n Axium Plastics and Alene Candles will get 100 percent real property tax abatements for 10 to 15 years.Village Council at an April 5 meeting approved incentives packages to entice plastic-container manufacturer Axium Plastics Inc. and candlemakers Alene Candles LLC to make the move to New Albany's business park east.The unanimously-approved incentives package includes a 100 percent real property tax abatement for 10 to 15 years.Council also approved incentives for real estate development firm Pizzuti Companies for development projects in the business park.To get the venture rolling council unanimously awarded an incentives package to Pizzuti Companies, including a 100 percent abatement for 10 to 15 years, also to be determined by a later evaluation of ECOS standards.Cit at ion (ag lc St yle )               Brett Nuckles, 'Village Council grants tax incentives to two more companies - n Axium Plastics               and Alene Candles will get 100 percent real property tax abatements for 10 to 15 years.',Council also approved tax incentives for both Alene Candles and Axium Plastics at the April 5 meeting.The companies also recently received job-creation tax credits from the Ohio Tax Credit Authority as incentives to locate in New Albany.Cit at ion (ag lc St yle )               LORI WINCE, ThisWeek Community Newspapers, 'Chrysler: New jobs boosting growth in Ohio',               ThisWeek Community Newspapers (online), 14 Apr 2011 1A               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/1369CB6FB74B4600›  News from New Albany - State tax breaks could net 300 jobs April 3, 2011 | ThisWeek Community Newspapers (Columbus, OH) Author: LORI WINCE; ThisWeek Community Newspapers Section: News 646 Words Page: 5A OpenURL Link   State tax credits have been awarded to two companies with plans to bring 300 more jobs to New Albany's business park east.The Ohio Tax Credit Authority approved tax credits March 28 for Alene Candles and Axium Plastics.Chrysler said local incentives were the next step in securing the companies' final decisions to build in New Albany.We hope after the local incentives are in place and if approved, they will be making their final decisions (on building in New Albany),"" she said.As for the state incentives, Alene Candles, based in Milford, N.H., was awarded a seven-year, 45- percent job-creation tax credit to locate in New Albany.Job-creation tax credits allow a company to be refunded a percentage of its income taxes paid annually for the term of the incentive.The value of the incentive is estimated at $214,000 over the seven years and the company must maintain operations at the site for at least 10 years.She said if local incentives are approved, the company could be part of a 300,000-square-foot speculative production facility built by the Pizutti Cos. Alene Candles would occupy a portion of the building.The value of the incentive is estimated at $449,000 over the seven years and the company must maintain operations at that site for at least 10 years.Both projects are eligible for 100-percent tax abatements in business park east if they generate a certain amount of revenue per acre, Chrysler said, and both have estimated they can meet the minimum revenue stream.""Through the continued support and cooperation of Columbus 2020! and the Jobs Ohio team we were able to help keep Ohio on the short list of sites and hopefully complete the deals in the next few weeks pending approval for local incentives,"" Chrysler said.A closer look -- Job-creation tax credits allow a company to be refunded a percentage of its income taxes paid annually for the term of the incentive.Cit at ion (ag lc St yle )  LORI WINCE, ThisWeek Community Newspapers, 'News from New Albany State tax breaks could net 300 jobs', ThisWeek Community Newspapers (online), 3 Apr 2011 5A ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view? p=WORLDNEWS&docref=news/13677A4C67C536A0›  State tax breaks could net 300 more jobs March 31, 2011 | ThisWeek Community Newspapers (Columbus, OH) Author: LORI WINCE; ThisWeek Community Newspapers Section: News 621 Words Page: 1A OpenURL Link   State tax credits have been awarded to two companies with plans to bring 300 more jobs to New Albany's business park east.The Ohio Tax Credit Authority approved tax credits March 28 for Alene Candles and Axium Plastics.Chrysler said local incentives were the next step in securing the companies' final decisions to build in New Albany.We hope after the local incentives are in place and if approved, they will be making their final decisions (on building in New Albany),"" she said.As for the state incentives, Alene Candles, based in Milford, N.H., was awarded a seven-year, 45- percent job-creation tax credit to locate in New Albany.Job-creation tax credits allow a company to be refunded a percentage of its income taxes paid annually for the term of the incentive.The value of the incentive is estimated at $214,000 over the seven years and the company must maintain operations at the site for at least 10 years.She said if local incentives are approved, the company could be part of a 300,000-square-foot speculative production facility built by the Pizutti Cos. Alene Candles would occupy a portion of the building.The value of the incentive is estimated at $449,000 over the seven years and the company must maintain operations at that site for at least 10 years.Both projects are eligible for 100-percent tax abatements in business park east if they generate a certain amount of revenue per acre, Chrysler said, and both have estimated they can meet the minimum revenue stream.""Through the continued support and cooperation of Columbus 2020! and the Jobs Ohio team we were able to help keep Ohio on the short list of sites and hopefully complete the deals in the next few weeks pending approval for local incentives,"" Chrysler said.The authority awarded Alene Candles a 45 percent tax credit for a seven-year term and the company would be required to maintain operations at the project site for 10 years.The value of the tax credit is estimated at $449,000 over the term and the company would be required to maintain operations at the project site for 10 years.The value of the tax credit is estimated at $443,000 over the term and the company would be required to maintain operations at the project site for 10 years.The value of the tax credit is estimated at $90,000 over the term and the company would be required to maintain operations at the project site for eight years.The value of the tax credit is estimated at $109,000 over the term and the company would be required to maintain operations at the project site for 10 years.The value of the tax credit is estimated at $258,000 over the term and the company would be required to maintain operations at the project site for nine years.The Ohio Tax Credit Authority approved tax credits yesterday for two companies that plan new locations for New Albany.The company will receive a tax credit valued at $449,000 over seven years.The tax credit is worth $214,000 over the term, and the company, like Axium, will have to maintain the site for 10 years.Dublin also was a winner among the tax credits that the state awarded yesterday:   * Information-technology company Information Control Corp. was awarded a tax credit worth an estimated $443,000 over seven years to help finance the company's expansion in Columbus and Dublin.* Software-services company Updox received a tax credit worth an estimated $258,000 to finance a $675,000 expansion expected to create 45 jobs and keep two others.* Food-packaging company Pactiv received a seven-year tax credit worth an estimated $109,000 to help with the company's expansion in Dublin that is expected to create 43 jobs and retain 133 positions.The Development Department also announced that a $1 million federal stimulus grant has awarded to Central Ohio BioEnergy to install a compressed natural-gas fueling station in Columbus at 2500 Jackson Pike."
"B3CG","NY","B3CG received economic-development funding from the New York Office of Community Renewal.""It is always exciting to work with new companies and assist them with their business needs, including workforce training, financial assistance and site setup and support,"" Development Corp. Facilities and Project Manager Keith Matott said in a statement."
"BAE Systems","TX","March 14, 2009 | Irving Rambler, The (TX) Section: Business 950 Words Page: 6 OpenURL Link   The Texas Department of Transportation unveiled their strategy to spend $1.2 billion in stimulus funding on road construction during a Texas Transportation Commission workshop session on Wednesday, February 25th, a strategy intended to both leverage local resources and create jobs across the state.The National Development Office will expand fund-raising efforts by identifying, cultivating, soliciting, and stewarding relationships with corporate, foundation, alumni, and individual prospects and donors.This strategic decision will result in the transfer of approximately 85% of their Irving work force to other BAE Systems sites, with the majority of the work going to the company's manufacturing facility in Fort Wayne, Ind. Affected employees at the Irving site will be eligible for a comprehensive package of severance, benefits and outplacement assistance.Chesapeake granted Plains the option to  avoid paying $800 million of a $1.65 billion obligation.Proceeds will fund the school's technology program."
